#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    90   0.239534E+04  -0.166649E+02   0.413910E-03  -0.166649E+02   0.620734E+00  -0.112437E-05   0.413910E-03  -0.112437E-05   0.108018E-06
    91   0.242437E+04  -0.172962E+02   0.408598E-03  -0.172962E+02   0.636262E+00  -0.115356E-05   0.408598E-03  -0.115356E-05   0.107359E-06
    92   0.245362E+04  -0.179325E+02   0.403415E-03  -0.179325E+02   0.651776E+00  -0.117452E-05   0.403415E-03  -0.117452E-05   0.106704E-06
    93   0.248308E+04  -0.185734E+02   0.398358E-03  -0.185734E+02   0.667261E+00  -0.118794E-05   0.398358E-03  -0.118794E-05   0.106052E-06
    94   0.251276E+04  -0.192186E+02   0.393420E-03  -0.192186E+02   0.682704E+00  -0.119449E-05   0.393420E-03  -0.119449E-05   0.105402E-06
    95   0.254267E+04  -0.198676E+02   0.388599E-03  -0.198676E+02   0.698090E+00  -0.119484E-05   0.388599E-03  -0.119484E-05   0.104756E-06
    96   0.257280E+04  -0.205200E+02   0.383889E-03  -0.205200E+02   0.713405E+00  -0.118968E-05   0.383889E-03  -0.118968E-05   0.104113E-06
    97   0.260316E+04  -0.211754E+02   0.379286E-03  -0.211754E+02   0.728634E+00  -0.117968E-05   0.379286E-03  -0.117968E-05   0.103474E-06
    98   0.263375E+04  -0.218333E+02   0.374786E-03  -0.218333E+02   0.743763E+00  -0.116551E-05   0.374786E-03  -0.116551E-05   0.102837E-06
    99   0.266454E+04  -0.224932E+02   0.370384E-03  -0.224932E+02   0.758776E+00  -0.114785E-05   0.370384E-03  -0.114785E-05   0.102205E-06
   100   0.269556E+04  -0.231546E+02   0.366076E-03  -0.231546E+02   0.773664E+00  -0.112737E-05   0.366076E-03  -0.112737E-05   0.101575E-06
   101   0.272680E+04  -0.238170E+02   0.361858E-03  -0.238170E+02   0.788409E+00  -0.110475E-05   0.361858E-03  -0.110475E-05   0.100949E-06
   102   0.275826E+04  -0.244801E+02   0.357726E-03  -0.244801E+02   0.802992E+00  -0.108067E-05   0.357726E-03  -0.108067E-05   0.100327E-06
   103   0.278992E+04  -0.251431E+02   0.353674E-03  -0.251431E+02   0.817412E+00  -0.105580E-05   0.353674E-03  -0.105580E-05   0.997080E-07
