#    L    TT             EE             BB             TE          
   345   0.263590E+04   0.171841E+02   0.370452E-01   0.966195E+02
   346   0.260885E+04   0.173435E+02   0.371703E-01   0.953356E+02
   347   0.258213E+04   0.175008E+02   0.372951E-01   0.940217E+02
   348   0.255574E+04   0.176559E+02   0.374196E-01   0.926779E+02
   349   0.252970E+04   0.178090E+02   0.375438E-01   0.913064E+02
   350   0.250400E+04   0.179598E+02   0.376678E-01   0.899065E+02
   351   0.247867E+04   0.181084E+02   0.377915E-01   0.884796E+02
   352   0.245370E+04   0.182547E+02   0.379151E-01   0.870264E+02
   353   0.242911E+04   0.183986E+02   0.380385E-01   0.855470E+02
   354   0.240489E+04   0.185401E+02   0.381617E-01   0.840436E+02
   355   0.238106E+04   0.186791E+02   0.382847E-01   0.825155E+02
   356   0.235762E+04   0.188156E+02   0.384076E-01   0.809633E+02
   357   0.233456E+04   0.189495E+02   0.385305E-01   0.793879E+02
   358   0.231191E+04   0.190808E+02   0.386532E-01   0.777900E+02
   359   0.228965E+04   0.192092E+02   0.387758E-01   0.761696E+02
   360   0.226779E+04   0.193349E+02   0.388985E-01   0.745281E+02
   361   0.224634E+04   0.194576E+02   0.390210E-01   0.728646E+02
   362   0.222529E+04   0.195774E+02   0.391436E-01   0.711810E+02
   363   0.220466E+04   0.196942E+02   0.392662E-01   0.694777E+02
   364   0.218444E+04   0.198079E+02   0.393889E-01   0.677554E+02
   365   0.216464E+04   0.199186E+02   0.395116E-01   0.660151E+02
   366   0.214527E+04   0.200261E+02   0.396344E-01   0.642574E+02
   367   0.212632E+04   0.201304E+02   0.397572E-01   0.624831E+02
   368   0.210780E+04   0.202314E+02   0.398803E-01   0.606930E+02
   369   0.208970E+04   0.203292E+02   0.400034E-01   0.588879E+02
   370   0.207205E+04   0.204236E+02   0.401267E-01   0.570684E+02
   371   0.205482E+04   0.205147E+02   0.402502E-01   0.552355E+02
   372   0.203803E+04   0.206023E+02   0.403739E-01   0.533897E+02
   373   0.202168E+04   0.206865E+02   0.404979E-01   0.515319E+02
   374   0.200577E+04   0.207673E+02   0.406221E-01   0.496630E+02
   375   0.199029E+04   0.208445E+02   0.407466E-01   0.477835E+02
   376   0.197525E+04   0.209182E+02   0.408713E-01   0.458942E+02
   377   0.196066E+04   0.209882E+02   0.409964E-01   0.439959E+02
   378   0.194650E+04   0.210546E+02   0.411218E-01   0.420893E+02
   379   0.193279E+04   0.211172E+02   0.412476E-01   0.401752E+02
   380   0.191953E+04   0.211761E+02   0.413737E-01   0.382544E+02
   381   0.190671E+04   0.212312E+02   0.415003E-01   0.363274E+02
   382   0.189434E+04   0.212824E+02   0.416272E-01   0.343952E+02
   383   0.188241E+04   0.213298E+02   0.417546E-01   0.324585E+02
   384   0.187093E+04   0.213734E+02   0.418825E-01   0.305182E+02
   385   0.185988E+04   0.214131E+02   0.420108E-01   0.285750E+02
   386   0.184929E+04   0.214490E+02   0.421397E-01   0.266299E+02
   387   0.183913E+04   0.214810E+02   0.422690E-01   0.246837E+02
   388   0.182942E+04   0.215091E+02   0.423989E-01   0.227371E+02
   389   0.182014E+04   0.215334E+02   0.425294E-01   0.207911E+02
   390   0.181130E+04   0.215539E+02   0.426604E-01   0.188464E+02
   391   0.180290E+04   0.215704E+02   0.427920E-01   0.169038E+02
   392   0.179492E+04   0.215830E+02   0.429243E-01   0.149642E+02
   393   0.178739E+04   0.215918E+02   0.430571E-01   0.130282E+02
   394   0.178027E+04   0.215965E+02   0.431907E-01   0.110966E+02
